Mosque Name,Address,Maps Coordinates,Notes,Latitude,Longitude
ISNA Jami Mosque,"56 Boustead Ave, Toronto, ON M6R 1Y9","43.65347142007285, -79.45457397677004",Larger mosque,43.65347142007285,-79.45457398
Albanian Mosque,"564 Annette St, Toronto, ON M6S 2C2","43.659964024316125, -79.48080906740671",Albanian culturally,43.659964024316125,-79.48080907
Nejashi Islamic Centre,"171 McCormack St, York, ON M6N 1X8","43.67501651348385, -79.4791497600454",Smaller mosque,43.67501651348385,-79.47914976
Bosnian Islamic Assoc Gazi Husrev-Beg,"122 N Queen St, Etobicoke, ON M8Z 5V5","43.62089173059256, -79.55013311719637",Bosnian culturally,43.62089173059256,-79.55013312
Mosque of Jerrahi Dervishes,"270 Birmingham St, Etobicoke, ON M8V 2E4","43.601042046313864, -79.51756224633637","Sufi organization, might not have daily prayers",43.601042046313864,-79.51756225
Bosnian Islamic Centre,"75 Birmingham St, Etobicoke, ON M8V 2C3","43.603377841976986, -79.50422446297534",Bosnian culturally,43.603377841976986,-79.50422446
Hamza Mosque,"1287 Queen St W, Toronto, ON M6K 1L6","43.64141169372833, -79.43208954208022",Small,43.64141169372833,-79.43208954
Islamic Information & Dawah Centre,"1168 Bloor St W, Toronto, ON M6H 1N1","43.65964635088424, -79.43709131286525",Small,43.65964635088424,-79.43709131
Masjid Toronto Dundas,"168 Dundas St W, Toronto, ON M5G 1C6","43.6554338944913, -79.38583099827694",Good size,43.65543389,-79.385831
Masjid Toronto Adelaide,"86 Adelaide St E, Toronto, ON M5C 1K6","43.65143853978673, -79.37435834719533",Smaller mosque,43.65143853978673,-79.37435835
Toronto Islamic Centre,"817 Yonge St, Toronto, ON M4W 2G9","43.67248387502701, -79.38750706609886",Good size,43.67248387502701,-79.38750707
Masjidur Rahmah,"328 Parliament St, Toronto, ON M5A 2Z7","43.65995461373726, -79.36631057356178",Small,43.65995461373726,-79.36631057
Masjid Omar Bin Al-Khatab,"232 Parliament St, Toronto, ON M5A 2Z4","43.65729773886694, -79.36531916924714",Small,43.65729773886694,-79.36531917
Regent Park Islamic Resource Centre,"246 Sackville Street, Toronto, ON M5A 3S4 Canada","43.66032732180265, -79.36376106457813",Access unclear,43.66032732180265,-79.36376106
Masjid Al-Furqan (TROID),"874-A Weston Rd., Toronto","43.683279850880915, -79.48109326887032",Small,43.683279850880915,-79.48109327
